Words;Occurrences
gut microbiota;172
gut microbiome;119
microbiome;84
microbiota;57
bioinformatics;40
inflammation;27
obesity;26
16s rrna;25
metagenomics;25
colorectal cancer;22
diet;22
dysbiosis;21
metabolomics;21
16s rrna gene sequencing;17
short-chain fatty acids;17
probiotics;16
16s rrna gene;15
machine learning;13
intestinal microbiota;12
metabolism;12
metagenome;12
biomarker;11
gastrointestinal microbiome;11
human gut microbiome;11
humans;11
inflammatory bowel disease;11
metabolites;11
16s rrna sequencing;10
metaproteomics;10
ulcerative colitis;10
diversity;9
gut;9
gut-brain axis;9
gut dysbiosis;9
helicobacter pylori;9
meta-analysis;9
metabolome;9
bacteroides;8
bile acids;8
gastric cancer;8
nutrition;8
prebiotics;8
antibiotic resistance;7
antibiotics;7
biomarkers;7
children;7
covid-19;7
fecal microbiota transplantation;7
type 2 diabetes;7
16s rdna;6
aging;6
bacteriophage;6
chronic kidney disease;6
diagnosis;6
human;6
hypertension;6
ibd;6
immune system;6
infants;6
intestinal flora;6
mass spectrometry;6
metagenomic sequencing;6
oral microbiome;6
rheumatoid arthritis;6
software;6
bacteria;5
bifidobacterium;5
colitis;5
diabetes;5
escherichia coli;5
genetics;5
high-throughput sequencing;5
irritable bowel syndrome;5
metabolic syndrome;5
microbial diversity;5
microbial metabolites;5
multiple sclerosis;5
mycobiome;5
pregnancy;5
probiotic;5
prognosis;5
proteomics;5
virome;5
bacteriophages;4
breast cancer;4
cancer;4
computational biology;4
crohn’s disease;4
deep learning;4
diarrhea;4
fungi;4
gut bacteria;4
gut microbes;4
human microbiome;4
mediterranean diet;4
metatranscriptomics;4
multi-omics;4
nafld;4
next generation sequencing;4
oxidative stress;4
personalized medicine;4
prebiotic;4
sars-cov-2;4
systems biology;4
16s;3
16s rdna amplicon sequencing;3
akkermansia muciniphila;3
alcohol use disorder;3
alzheimer’s disease;3
ankylosing spondylitis;3
artificial intelligence;3
autism spectrum disorder;3
autoimmune disease;3
bacterial community;3
bifidobacterium longum;3
chemotherapy;3
cytokines;3
depression;3
diabetes mellitus;3
diagnostic model;3
disease;3
drug discovery;3
enterococcus;3
environment;3
epilepsy;3
eradication;3
ethnicity;3
faecalibacterium;3
faecalibacterium prausnitzii;3
feces;3
gastric microbiome;3
gastric microbiota;3
genomics;3
gut-liver axis;3
gut virome;3
hepatocellular carcinoma;3
high-fat diet;3
hiv;3
human health;3
infant;3
intestinal microbiome;3
inulin;3
lactobacillus;3
leaky gut;3
liver disease;3
metagenome-assembled genome;3
metagenomic;3
metagenomic analysis;3
metagenomics sequencing;3
microbial ecology;3
microbiology;3
mucosa;3
next-generation sequencing;3
periodontitis;3
phage;3
phage therapy;3
phylogeny;3
polyphenols;3
preeclampsia;3
preterm birth;3
sequencing;3
skin microbiome;3
small intestine;3
systematic review;3
traditional chinese medicine;3
tuberculosis;3
tumor microenvironment;3
type 1 diabetes;3
virulence;3
16s rdna sequence;2
acute pancreatitis;2
adolescents;2
advanced colorectal adenoma;2
alcohol;2
alpha diversity;2
alzheimer's disease;2
antimicrobial activity;2
antimicrobial resistance gene;2
archaea;2
arsenic;2
athletic performance;2
atopic dermatitis;2
attention-deficit/hyperactivity disorder;2
autism;2
autism spectrum disorders;2
autoimmunity;2
bacterial diversity;2
bacteriome;2
bariatric surgery;2
beneficial bacteria;2
berberine;2
beta diversity;2
bifidobacteria;2
big data;2
biobank;2
bioinformatics pipeline;2
bipolar disorder;2
blastocystis;2
brain;2
breast-feeding;2
breastfeeding;2
canine;2
capecitabine;2
carbohydrate;2
carcinogenesis;2
cardiovascular diseases;2
causal inference;2
celiac disease;2
child;2
chronic intermittent hypoxia;2
chronic spontaneous urticaria;2
clostridium;2
clustering;2
commensal bacteria;2
commensals;2
composition;2
computational biology/methods;2
conservation;2
correlation analysis;2
cvid;2
cytokine;2
data analysis;2
diarrhea-predominant irritable bowel syndrome;2
dietary fiber;2
disease activity;2
disease prediction;2
drug target;2
early life;2
end-stage renal disease;2
endothelial dysfunction;2
epidemiology;2
epigenetics;2
evolution;2
exenatide;2
exercise;2
exposure;2
fecal;2
fecal metabolome;2
fecal microbiota;2
fetal growth restriction;2
fluoride;2
food;2
food additives;2
functional prediction;2
fungus;2
fusobacterium nucleatum;2
gastrointestinal microbiota;2
gastrointestinal tract;2
gene expression;2
genetic variation;2
genome mining;2
geography;2
gestational diabetes mellitus;2
glucose intolerance;2
gut–brain axis;2
gut barrier;2
gut metabolites;2
gut micobiota;2
gut microbiota dysbiosis;2
gut mycobiome;2
health;2
human gut;2
human gut microbiota;2
human milk;2
human milk oligosaccharides;2
hyperlipidemia;2
illumina miseq sequencing;2
immunotherapy;2
in vitro fermentation;2
indigenous population;2
infant growth;2
infant gut microbiota;2
infection;2
infections;2
inflammaging;2
inflammatory bowel diseases;2
inflammatory bowel diseases/microbiology;2
insulin resistance;2
intensive care unit;2
internet;2
intestinal bacteria;2
intestinal barrier;2
intestinal barrier function;2
intestinal permeability;2
ketogenic diet;2
klebsiella;2
lactation;2
lactic acid bacteria;2
lipopolysaccharide (lps);2
melanoma;2
metagenome/genetics;2
metagenome/genetics/physiology;2
metagenomics/methods;2
microbial dysbiosis;2
microbial function;2
microbiome data analysis;2
mir-146a;2
molecular genetics;2
mouse model;2
mucosal immunity;2
mucosal microbiome;2
multivariate analysis;2
mycobiota;2
nanopore sequencing;2
network pharmacology;2
neurodegenerative disease;2
next-generation probiotics;2
next-generation sequencing (ngs);2
nutrients;2
oligosaccharides;2
omics;2
omics integration;2
osteoporosis;2
pain;2
pancreatic cancer;2
parkinson’s disease;2
pathogen;2
pathogenic bacteria;2
phageome;2
phenotypes;2
physical activity;2
placenta;2
plasmid;2
polycystic ovary syndrome;2
polysaccharide;2
postbiotics;2
precision;2
prediction;2
pregnant women;2
preterm infants;2
prevotella;2
proteobacteria;2
randomized clinical trial;2
rehabilitation;2
relative abundance;2
resilience;2
resistome;2
review;2
rhesus macaque;2
rifaximin;2
rna-seq;2
scfa;2
schizophrenia;2
secondary bile acids;2
sepsis;2
sequence analysis  rna;2
short-chain fatty acid;2
short chain fatty acid;2
sleep;2
spinal cord injuries;2
streptococcus;2
stress;2
study design;2
sucralose;2
sutterella;2
systemic lupus erythematosus;2
t2dm;2
tau;2
taxonomic profiling;2
third-generation sequencing;2
toxicity;2
transmission;2
treatment;2
type 1 diabetes mellitus;2
untargeted metabolomics;2
uremic toxins;2
urticaria;2
vaginal microbiome;2
weight loss;2
(+)-catechin;1
“ataulfo” mango;1
16s amplicon sequencing;1
16s dna sequencing;1
16s rdna gene diversity;1
16s rdna gene sequencing;1
16s rdna sequencing;1
16s ribosomal dna sequencing;1
16s ribosomal rna gene amplicon sequencing;1
16s ribosomal rna sequencing;1
16s rna;1
16s rrna-seq and metagenomics;1
16s rrna gene-targeted sequencing;1
16s rrna gene high-throughput sequencing;1
16s rrna gene sequence;1
16s rrna next-generation sequencing;1
16s rrna quantitative microarray;1
16s rrna sequence;1
16srrna sequencing;1
2-oxoglutarate;1
3-indolepropionic acid;1
3d tissue model;1
5xfad;1
abdominal surgery;1
abiotic factors;1
absolute abundance;1
abundances;1
accuracy;1
ace2;1
acesulfame-k;1
acrocephalus sechellensis;1
acupuncture;1
acute kidney injury;1
acute leukemia;1
acute lung injury;1
acute lymphoblastic leukemia (all);1
acute respiratory distress syndrome;1
acyl-acp synthetase;1
acyl-coa synthetase;1
adalimumab;1
adaptation;1
adaptive association analysis;1
adaptive slicing;1
adeno-associated virus vector (aav);1
adenoma;1
adenomatous polyp;1
adenomyosis (em;1
adipose tissue;1
adjuvant-induced arthritis;1
adlercreutzia;1
adolescent patients;1
adult;1
advanced mri;1
advantages;1
aerodigestive tract;1
aflatoxin b1;1
age-related macular degeneration;1
aged rats;1
ageing;1
aggression;1
aging alleviation;1
akkermansia;1
akkermasia;1
al amyloidosis;1
albendazole;1
alcohol-related cirrhosis;1
alcohol dependence;1
alcoholic liver disease;1
allergies;1
allergy;1
alteration;1
alveolar echinococcosis;1
alzheimer's;1
am);1
amino acid sequence database;1
amino acids;1
aminoglycoside-n-acetyltransferase (aac);1
ammonia;1
amniotic fluid;1
amoxicillin;1
amplicon sequence variants;1
amplicon sequence variants (asv);1
amplicon sequencing;1
amr;1
amyloid;1
amyloid-? peptide;1
amyloid peptides;1
anaerobes;1
anaerotruncus;1
anal fistula;1
analysis methods;1
analytical process;1
anaphylaxis;1
and bile salt biotransformation genes;1
and mouth disease;1
animals;1
anorexia nervosa;1
anthropogenic impact;1
anthropometry;1
anti-diabetic drugs;1
anti-microbial;1
anti-obesity;1
anti-seizure medication;1
anti-tb chemotherapy;1
anti-tnf-?;1
antiaging;1
antibiotic;1
antibiotic exposure;1
antibiotic resistance—human gut microbiome;1
antibiotic resistance genes;1
antibiotic resistant genes;1
anticancer peptide;1
anticancer treatment and bacteria;1
antidepressants;1
antiepileptic drugs;1
antihistamine resistance;1
antimicrobial peptides;1
antimicrobial resistance;1
antiretroviral;1
antiretroviral therapy;1
anxiety;1
anxiety and depression;1
anxiolytics;1
apnoea;1
app/ps1 mice;1
application;1
aptamers;1
aquaculture;1
archaeal enterotype;1
archaeome;1
arginine;1
arginine metabolism;1
args;1
artemether/lumefantrine;1
arthritis;1
artificial sweetener;1
aryl hydrocarbon receptor;1
aryl hydrocarbon receptor (ahr);1
asd;1
aspergillus;1
aspirin;1
association studies;1
asthma;1
asymptomatic hyperuricemia;1
atherosclerosis;1
atherosclerosis (as);1
atherosclerotic cardiovascular diseases;1
atorvastatin;1
attention deficit hyperactivity disorder;1
autoantibodies;1
autoencoder;1
autoimmune diseases;1
autoimmune liver disease;1
autoimmunity responses;1
autonomic dysfunction;1
avian microbiome;1
azoles;1
b4galnt2;1
bacillus cereus;1
back-propagation;1
bacon domain;1
bacteremia;1
bacteria-phage interaction;1
bacteria dna;1
bacterial;1
bacterial 16s rrna gene sequencing;1
bacterial activity;1
bacterial biomarkers;1
bacterial composition;1
bacterial consortium;1
bacterial effectors;1
bacterial genus;1
bacterial microbiome;1
bacterial migration;1
bacterial physiological phenomena;1
bacterial physiology;1
bacterial structure;1
bacterial virulence;1
bacteriocins;1
bacteriophage resistance;1
bacteroides-associated carbohydrate-binding often n-terminal domain;1
bacteroides fragilis (b  fragilis);1
bacteroides thetaiotaomicron;1
bacteroides vulgatus;1
bacteroidetes;1
balance;1
balancing selection;1
barrier;1
batch effect;1
behavior;1
behavioral inhibition;1
benchmark;1
benchmarking;1
bentonite;1
beta-amyloid;1
beta-cell function;1
beta-diversity;1
biclique;1
bicluster;1
bifidobacterial communities;1
bifidobacterium animalis ssp  lactis;1
bifidobacterium bifidum wbin03;1
bifidobacterium catenulatum;1
bifidobacterium longum subsp infantis;1
bifidobacterium pseudocatenulatum;1
bifidobacterium spp;1
big cats;1
bile acid;1
bilirubin;1
bilophila wadsworthia;1
binning;1
bioactivity;1
bioaerosol;1
biochemical index;1
biocyc;1
bioelectrical systems;1
bioindustry;1
bioinformatics analysis;1
bioinformatics resource;1
biological evolution;1
biological scaffold;1
biological variation;1
biomass;1
biomonitoring;1
biopsies;1
biorepository;1
biosensors;1
biosynthetic gene clusters;1
biosynthetic genes;1
biotherapeutics;1
biotransformation;1
bipartite graph;1
birth cohort;1
black raspberry;1
blood bacteria and dysbiosis;1
blood biochemical characteristics;1
blood glucose level;1
blood group;1
blood metabolites;1
blood microbiota;1
blood parameters;1
bloodstream infection;1
bmi z score;1
bmos;1
body mass index;1
body mass index (bmi);1
boncat;1
bpa;1
bpa analogues;1
bpp;1
brain-gut-microbiome;1
brain-gut axis;1
breast carcinoma;1
broiler;1
butyrate;1
butyric acid-producing bacteria;1
c-type lectin receptor;1
c  difficile;1
caco-2;1
caecum;1
calprotectin;1
cancer biomarker;1
cancer therapy;1
candida;1
candidiasis;1
captive;1
captive management;1
carbohydrate-active enzyme;1
carbohydrate probe;1
carbohydrate quality;1
carbon handoffs;1
cardiac surgery;1
cardiometabolic risk factors;1
cardiomyopathy;1
cardiorespiratory control;1
cardiovascular disease;1
cardiovascular effects;1
caries;1
case-control studies;1
cat;1
catechin-metabolizing bacteria;1
cazyme;1
cazymes;1
cba/j mouse;1
ccne1;1
cd;1
cd95;1
celiac disease (cd);1
centenarians;1
central nervous system;1
central precocious puberty;1
central retinal artery occlusion;1
cerna network;1
cervical cancer;1
cervical intraepithelial neoplasia;1
cetuximab;1
changes in gut microbiota;1
chemical signaling;1
cheminformatics;1
child cohort study;1
child psychiatry;1
childhood epilepsy;1
childhood malnutrition;1
childhood obesity;1
childhood weight gain;1
chimeric-subunit vaccine;1
chlorpyrifos;1
cholecystectomy;1
chromosome mapping/methods;1
chronic antral gas-tritis;1
chronic diseases;1
chronic liver disease;1
chronic pelvic pain (cpp);1
chronic spontaneous urticaria (csu);1
chronic thromboembolic pulmonary hypertension;1
ciona intestinalis type a;1
ciona robusta;1
circadian rhythm;1
circulating tumour cells;1
cirrhosis;1
classic machine learning;1
classification;1
clinical genomics;1
clinical indicators;1
clinical manifestations;1
clinical microbiology;1
clinical parameters;1
clinical research;1
clinical trial;1
clinician;1
clostridiodes;1
clostridioides difficile;1
clostridium nexile;1
cmfg;1
cnf1;1
co-exposure;1
co-resistant;1
cognitive function;1
cohort;1
cohousing;1
collinsella;1
colon;1
colon polyps;1
colon/metabolism/microbiology/pathology;1
colonic inflammation;1
colonic microflora;1
colonic mucosa;1
colonization;1
colonization resistance;1
colorectal;1
colorectal cancer screening;1
colorectal carcinoma;1
colorectal neoplasms;1
colorectal polyps;1
commensal;1
common variable immunodeficiency;1
community-level analysis;1
community simulation;1
comparative genomics;1
comparisons;1
competition;1
complement;1
complement factor h (cfh);1
complex networks;1
complications of traumatic brain injury;1
composition and functional potential;1
composition difference;1
compositional effect;1
computational pipeline;1
confounders;1
congenital heart disease;1
conjugation;1
consensus;1
constipation;1
constraint-based modeling;1
contamination;1
convolutional neural network;1
copper;1
copra meal hydrolysate;1
core microbiome;1
corneal ectasia;1
coronary artery disease;1
coronary artery disease (cad);1
coronary heart disease (chd);1
coronavirus disease 2019 (covid-19);1
correlation;1
counterfactual explanation;1
covariate adjustment;1
cp: microbiology;1
crassphage;1
crispr;1
crispr-cas systems;1
critical care;1
crohn's disease;1
crohn disease;1
cross-cohort validation;1
cross-feeding;1
cross-reactive antigen;1
crystallography;1
culturing;1
culturomics;1
cure;1
cutibacterium acnes;1
cyathostomins;1
cyclosporine a;1
cysteine;1
cystic echinococcosis;1
dairy;1
dairy cattle;1
dark matter;1
data-independent acquisition;1
data analytics;1
data science;1
data visualization;1
databases  genetic;1
daunorubicin;1
de novo assembly;1
de novo fatty acids synthesis;1
death;1
decompartmentalization;1
deep sequencing;1
defined microbial communities;1
delegated phenotype;1
delivery mode;1
dementia;1
dendritic cell;1
deoxycholic acid;1
deployment;1
desmethylbellidifolin;1
detoxification;1
dha;1
diabetes mellitus  type 2;1
diabetes mellitus type 1;1
diabetes mellitus/microbiology;1
diabetes remission;1
diabetic kidney diseases;1
diabetic retinopathy;1
diagnostic testing;1
dialysis;1
diarrheal irritable bowel syndrome;1
diet patterns;1
dietary obesogens exposure;1
dietary pattern;1
dietary proteins;1
dietary quality;1
dietary regimes;1
differential abundance testing;1
differential composition;1
differential function;1
differential species;1
differentially abundant bacteria;1
digestion;1
dihydroxypropanesulfonate;1
diolein;1
direct effect;1
disadvantages;1
discretization;1
disease resistance;1
diseases;1
diseases and disorders of/related to bone;1
disorders of microbiota;1
distance-based methods;1
distance correlation;1
disulfide reductase;1
diurnal oscillation;1
diurnal variation;1
diversity  immunology;1
dna  bacterial/chemistry;1
dna methylation;1
dna polymerase delta;1
dna replication;1
doca-salt hypertension;1
dogs;1
domestic animals;1
dopamine;1
dosage;1
drowsiness;1
drug-target networks;1
drug-targets;1
drug resistance;1
drug response;1
drug screening;1
dss-induced colitis;1
duck;1
duodenal ulcer;1
duodenum;1
duodenum and rectum;1
duodenum bulb;1
dupa;1
dynamic correlation-based networks;1
dynamics;1
dysbiosis index;1
dysbiosis of gut microbiota;1
dysbiosis signatures;1
dysbiotic microbiota;1
early administration and later effects;1
early biomarkers;1
early detection;1
early gut microbiota;1
early life nutrition;1
early prediction;1
ecology;1
economic status;1
ecuador;1
eczema;1
education;1
effects;1
egcg;1
eggerthella;1
ehomd;1
elderly;1
ellagitannins;1
elmo1;1
embedding spaces;1
endobolome;1
endocrine disruptors;1
endocrine pathogenesis;1
endometriosis;1
energy restriction;1
enhanced intracellular survival (eis) protein;1
ensemble learning;1
entacapone;1
enteric-nervous system;1
enteric bacterial microflora;1
enteric carriage;1
enteric infection;1
enteric virus;1
enterobacter;1
enterobacter cloacae;1
enterocytozoon bieneusi;1
enteromorpha clathrata;1
enteropypes;1
enterotoxins;1
epac;1
epigenome;1
epigenomics;1
epithelium;1
epsps enzyme;1
erosive gastritis;1
escherichia;1
etanercept;1
ethnic groups;1
eugenol;1
eukaryotes;1
expec;1
experimental autoimmune encephalomyelitis;1
exposed uninfected;1
expression;1
extrauterine growth restriction;1
faecal microbiome;1
faecal microbiota;1
faecal microbiota transplantation;1
false discovery rate;1
farnesoid x receptor;1
faroe islands;1
fasting glucose;1
fat;1
fat intake;1
fat mass;1
fatty acid synthesis;1
fatty acids;1
fatty liver;1
feature evaluation and selection;1
febrile neutropenia;1
fecal fatty acids;1
fecal matter transplantation;1
fecal metabolites;1
fecal metabolomics;1
fecal microbiome;1
fecal microbiota transplant;1
fecal microrna;1
fecal transplantation;1
fecal virome transplantation;1
feces banking;1
feces/microbiology;1
feeding practices;1
feeds;1
feline;1
fermentation;1
fertility;1
few-shot learning;1
fiber;1
fibromyalgia;1
filamentous salmonella typhimurium;1
finfish;1
firmicutes and actinobacteria;1
fitness;1
flavonifractor;1
flow cytometry;1
flucell?selex;1
fluorescent polysaccharides;1
flux balance analysis;1
fmt;1
food allergens;1
food allergy;1
food hypersensitivity;1
food matrix;1
food metabolism;1
food microbiome;1
food poisoning;1
food protein-induced proctocolitis;1
food provisioning;1
food safety;1
foods;1
foot;1
forensic medicine;1
forensic science;1
forest musk deer;1
forkhead box p3;1
fox;1
foxp3 expression;1
fracture-related infection (fri);1
fragment-based similarity;1
free immunoglobulin light chains;1
fructo-oligosaccharides;1
fructose;1
fucosyllactose;1
fulani;1
function alteration;1
function prediction;1
functional analysis;1
functional biomarkers;1
functional constipation;1
functional markers;1
functional metagenomics;1
functional omics;1
functional pathway;1
functional profile;1
functional profiling;1
functional traits;1
functionality;1
functions;1
fungal microbiome;1
fungal microbiota;1
fusobacterium;1
fxr;1
galactose;1
gallstone disease;1
gamlss;1
gas production;1
gastric antrum ulcer;1
gastric fluid;1
gastric mucosal;1
gastrointestinal;1
gastrointestinal food hypersensitivity;1
gastrointestinal microbiome/genetics;1
gastrointestinal microbiome/genetics/immunology;1
gastrointestinal tract/microbiology;1
gender;1
gene-environment interaction;1
gene capture by hybridization;1
gene marker analysis;1
gene silencing;1
gene therapy;1
genes;1
genes  bacterial;1
genetic engineering;1
genetic functions;1
genome-scale metabolic models;1
genome-wide association studies (gwas);1
genome evolution;1
genome sequencing;1
genomic adaptation;1
genomic variation;1
genotype;1
genotyping;1
gentianaceae;1
gentianella acuta;1
genx;1
geo database;1
germ-free animal;1
gestational age;1
gestational anemia;1
gk rats;1
glomerular filtration rate;1
glucagon-like peptide 2;1
glucocorticoids;1
glucose;1
glucose metabolism analysis;1
gluten-free diet;1
gluten-free diet (gfd);1
gluten-related disorders;1
gluten free diet;1
glycan;1
glycans;1
glycemic homeostasis;1
glycerophospholipid metabolism;1
glycyl radical enzyme;1
glyphosate;1
gnotobiotic mice;1
granular computing;1
graph databases;1
graves’ disease;1
graves’ ophthalmopathy;1
gray-brown mouse lemur (microcebus griseorufus);1
greek adults;1
green tea extract;1
grid2;1
group 3 innate lymphoid cells;1
growth;1
gsh;1
guangdong gut microbiome project;1
guangdong han individuals;1
guatemala;1
guidelines;1
guinea-pig;1
gut-lung axis;1
gut-microbial interactions;1
gut-on-a-chip;1
gut-organoids;1
gut-retina axis;1
